date;close;high;low;open
7/1/2022;23358.0;23450.0;23255.0;23255.0
8/1/2022;23415.0;23480.0;23335.0;23335.0
9/1/2022;23820.0;23875.0;23440.0;23450.0
10/1/2022;24820.0;24860.0;23800.0;23820.0
11/1/2022;24750.0;24876.0;24630.0;24840.0
12/1/2022;23600.0;24535.0;23450.0;24630.0
1/1/2023;23470.0;23630.0;23422.0;23600.0
2/1/2023;23805.0;23850.0;23435.0;23445.0
3/1/2023;23470.0;23780.0;23450.0;23740.0
4/1/2023;23445.0;23511.0;23435.0;23470.0
5/1/2023;23480.0;23500.0;23400.0;23450.0
6/1/2023;23569.0;23588.0;23450.0;23485.0
7/1/2023;23685.0;23780.0;23543.0;23569.0
8/1/2023;24110.0;24195.0;23660.0;23680.0
9/1/2023;24385.0;24435.0;23350.0;24060.0
10/1/2023;24558.0;24610.0;24245.0;24385.0
11/1/2023;24260.0;24586.0;23240.0;24560.0
12/1/2023;24235.0;24380.0;24170.0;24250.0
1/1/2024;24395.0;24615.0;24215.0;24260.0
2/1/2024;24620.0;24700.0;24310.0;24415.0
3/1/2024;24790.0;24813.0;24590.0;24640.0
4/1/2024;25330.0;25458.0;24760.0;24810.0
5/1/2024;25450.0;25476.0;23350.0;25330.0
6/1/2024;25455.0;25468.0;24415.0;25450.0
7/1/2024;25275.0;25454.0;25220.0;25445.0
8/1/2024;24870.0;25235.0;22080.0;25235.0
9/1/2024;24590.0;24890.0;24515.0;24870.0
10/1/2024;25280.0;25440.0;24555.0;24555.0
11/1/2024;25358.0;25430.0;25250.0;25270.0
12/1/2024;25476.0;25500.0;25335.0;25358.0
1/1/2025;25060.0;25480.0;24990.0;25480.0
2/1/2025;25520.0;25604.0;25020.0;25060.0
3/1/2025;25550.0;25658.0;25420.0;25520.0
4/1/2025;25980.0;26110.0;25565.0;25565.0
5/1/2025;25980.0;25980.0;25980.0;25980.0
